"date","station_id","station_name","in_establishment_period","in_measurement_period","days_since_planting","days_since_first_measurement","tavg_C","tmax_C","tmin_C","rh_mean_pct","dewpoint_mean_C","vpd_daily_kPa","precip_mm","precip_trace","measurable_precip","wind_mean_ms","weather_code","precip_prior_7d_mm","precip_prior_14d_mm","days_since_measurable_precip_prior","hot_day_90F","hot_period_id","hot_period_length_days","hot_period_90F_3d","tavg_prior_7d_mean_C","tmax_prior_7d_max_C","vpd_prior_7d_mean_kPa","vpd_prior_7d_max_kPa","hot_days_prior_7d_n","daily_source","temp_rh_status","precip_status","precip_original_in","irrigation_schedule_basis","irrigation_gal_per_tree","irrigation_L_per_tree","irrigated_today","days_since_irrigation_prior","irrigation_events_prior_7d_n"
2022-06-04,"USW00013734","Martinsburg Eastern WV Regional Airport",TRUE,TRUE,33,12,19.4444444444444,28.3333333333333,10,52,8.33333333333333,1.08435149525585,0,FALSE,FALSE,1.519936,"BR",7.112,42.926,1,FALSE,,0,FALSE,22.4140211640212,32.7777777777778,0.920959836646005,1.20049968642366,2,"NOAA_SOD","official_daily_summary","official_daily_summary","0","no_scheduled_irrigation",0,0,FALSE,3,1
2022-06-05,"USW00013734","Martinsburg Eastern WV Regional Airport",TRUE,TRUE,34,13,17.7777777777778,26.1111111111111,8.88888888888889,52,7.77777777777778,0.976956365244623,0,FALSE,FALSE,1.1176,,7.112,42.926,2,FALSE,,0,FALSE,22.4140211640212,32.7777777777778,0.985504568506472,1.20049968642366,2,"NOAA_SOD","official_daily_summary","official_daily_summary","0","no_scheduled_irrigation",0,0,FALSE,4,1
2022-06-06,"USW00013734","Martinsburg Eastern WV Regional Airport",TRUE,TRUE,35,14,18.8888888888889,26.6666666666667,11.1111111111111,57,10.5555555555556,0.938349178494699,0,FALSE,FALSE,2.861056,,7.112,42.926,3,FALSE,,0,FALSE,22.1759259259259,32.7777777777778,1.03470713893676,1.20049968642366,2,"NOAA_SOD","official_daily_summary","official_daily_summary","0","scheduled_Monday",5,18.92705892,TRUE,5,1
2022-06-07,"USW00013734","Martinsburg Eastern WV Regional Airport",TRUE,TRUE,36,15,18.8888888888889,23.8888888888889,13.8888888888889,82,15.5555555555556,0.392797330532665,2.032,FALSE,TRUE,2.726944,"RA FG BR",7.112,41.148,4,FALSE,,0,FALSE,21.6203703703704,32.7777777777778,1.04600158375066,1.20049968642366,2,"NOAA_SOD","official_daily_summary","official_daily_summary","0.08","no_scheduled_irrigation",0,0,FALSE,0,2
2022-06-08,"USW00013734","Martinsburg Eastern WV Regional Airport",TRUE,TRUE,37,16,22.2222222222222,28.8888888888889,15.5555555555556,83,18.8888888888889,0.455592392824131,7.112,FALSE,TRUE,1.609344,"TS RA FG BR",9.144,42.418,0,FALSE,,0,FALSE,20.6349206349206,32.7777777777778,0.930615532909088,1.17207775547753,1,"NOAA_SOD","official_daily_summary","official_daily_summary","0.28","no_scheduled_irrigation",0,0,FALSE,1,1
2022-06-09,"USW00013734","Martinsburg Eastern WV Regional Airport",TRUE,TRUE,38,17,20,25,14.4444444444444,60,13.3333333333333,0.935312508370978,0.762,FALSE,TRUE,5.36448,"TS RA BR",16.256,49.53,0,FALSE,,0,FALSE,20.2380952380952,29.4444444444444,0.828260481101459,1.12237501004517,0,"NOAA_SOD","official_daily_summary","official_daily_summary","0.03","no_scheduled_irrigation",0,0,FALSE,2,1
2022-06-10,"USW00013734","Martinsburg Eastern WV Regional Airport",TRUE,TRUE,39,18,18.8888888888889,26.1111111111111,11.6666666666667,59,11.1111111111111,0.894705030657737,0,FALSE,FALSE,2.2352,,9.906,50.292,0,FALSE,,0,FALSE,19.6031746031746,28.8888888888889,0.843676325824018,1.12237501004517,0,"NOAA_SOD","official_daily_summary","official_daily_summary","0","no_scheduled_irrigation",0,0,FALSE,3,1
2022-06-11,"USW00013734","Martinsburg Eastern WV Regional Airport",TRUE,TRUE,40,19,18.3333333333333,21.1111111111111,15,83,13.8888888888889,0.358299977544364,3.556,FALSE,TRUE,0.715264,"RA BR",9.906,17.018,1,FALSE,,0,FALSE,19.4444444444444,28.8888888888889,0.811152043054384,1.08435149525585,0,"NOAA_SOD","official_daily_summary","official_daily_summary","0.14","no_scheduled_irrigation",0,0,FALSE,4,1
2022-06-12,"USW00013734","Martinsburg Eastern WV Regional Airport",TRUE,TRUE,41,20,21.6666666666667,27.7777777777778,15.5555555555556,82,17.7777777777778,0.466323873384532,3.81,FALSE,TRUE,1.251712,"TS RA BR",13.462,20.574,0,FALSE,,0,FALSE,19.2857142857143,28.8888888888889,0.707430397667028,0.976956365244623,0,"NOAA_SOD","official_daily_summary","official_daily_summary","0.15","no_scheduled_irrigation",0,0,FALSE,5,1
2022-06-13,"USW00013734","Martinsburg Eastern WV Regional Airport",TRUE,TRUE,42,21,26.1111111111111,32.2222222222222,19.4444444444444,76,20.5555555555556,0.812059608951151,0,FALSE,FALSE,1.207008,"BR",17.272,24.384,0,TRUE,3,1,FALSE,19.8412698412698,28.8888888888889,0.634482898829873,0.938349178494699,0,"NOAA_SOD","official_daily_summary","official_daily_summary","0","scheduled_Monday",5,18.92705892,TRUE,6,1
