trait,response,units,analysis,dataset,model,stratum,term,df,sumsq,meansq,statistic,p_value,p_label
Midday leaf water potential,wp_mpa,MPa,Primary site × species × week repeated-measures AOV,Complete trees,wp_mpa ~ site * species * week_f + Error(tree_id/week_f),tree_id,site,1,0.11405037160172884,0.11405037160172884,0.498148184945801,0.4911320251705714,0.4911
Midday leaf water potential,wp_mpa,MPa,Primary site × species × week repeated-measures AOV,Complete trees,wp_mpa ~ site * species * week_f + Error(tree_id/week_f),tree_id,species,2,16.102775223512747,8.051387611756374,35.16677822933763,2.1741304403168754e-6,<0.001
Midday leaf water potential,wp_mpa,MPa,Primary site × species × week repeated-measures AOV,Complete trees,wp_mpa ~ site * species * week_f + Error(tree_id/week_f),tree_id,site:species,2,0.14133103345694414,0.07066551672847207,0.3086522069342551,0.738990533784373,0.739
Midday leaf water potential,wp_mpa,MPa,Primary site × species × week repeated-measures AOV,Complete trees,wp_mpa ~ site * species * week_f + Error(tree_id/week_f),tree_id:week_f,week_f,9,52.25713448095242,5.806348275661381,39.82743215705845,8.183718652263329e-34,<0.001
Midday leaf water potential,wp_mpa,MPa,Primary site × species × week repeated-measures AOV,Complete trees,wp_mpa ~ site * species * week_f + Error(tree_id/week_f),tree_id:week_f,site:week_f,9,3.334169015411248,0.3704632239345831,2.541115037791824,0.010006668051700321,0.01
Midday leaf water potential,wp_mpa,MPa,Primary site × species × week repeated-measures AOV,Complete trees,wp_mpa ~ site * species * week_f + Error(tree_id/week_f),tree_id:week_f,species:week_f,18,6.9829199529565145,0.387939997386473,2.6609933116971454,7.179861221196794e-4,<0.001
Midday leaf water potential,wp_mpa,MPa,Primary site × species × week repeated-measures AOV,Complete trees,wp_mpa ~ site * species * week_f + Error(tree_id/week_f),tree_id:week_f,site:species:week_f,18,3.7141392840131666,0.20634107133406482,1.4153534424071623,0.13385255853433198,0.1339
