"species","week","n","mean_N","se_N","mean_CN","se_CN","mean_c13","se_c13"
"d",1,9,2.10888888888889,0.136304850778243,22.8765264489502,1.38437590373643,-25.8555555555556,0.315234088994508
"d",2,9,1.72444444444444,0.0846907956285542,26.5122257062958,1.41558505951187,-26.3022222222222,0.375469253726357
"d",3,9,1.60111111111111,0.0510295242548763,28.0964065697794,0.900607008928344,-25.4922222222222,0.271563261392758
"d",4,9,1.39555555555556,0.0564237713672938,32.231708059004,1.43895938316748,-25.6677777777778,0.306919179452913
"d",5,9,1.41333333333333,0.0574697988318889,31.6167869733761,1.22253985973512,-25.5511111111111,0.313676427604256
"d",6,9,1.36555555555556,0.0560533255805753,33.2896573119525,1.41840988722125,-25.9911111111111,0.291015675620386
"d",7,9,1.33,0.0528099317258495,34.1977519853642,1.36481157991336,-26.0088888888889,0.274921425362697
"d",8,9,1.17888888888889,0.0611111111111111,39.1947084622045,2.05205919749457,-26.18,0.227675451270248
"d",9,9,1.21666666666667,0.0621154838452807,37.6503565601819,1.671925322113,-25.9744444444444,0.410122309368773
"d",10,9,1.28,0.04,36.7392386977632,0.857887352955606,-26.0688888888889,0.444810959985764
"h",1,9,3.41,0.186294271397581,15.3399052401499,0.995328880499304,-26.3722222222222,0.455176332674668
"h",2,9,3.27,0.156364957711119,15.3039755807579,0.826639163427548,-26.9911111111111,0.286145089675988
"h",3,9,2.92777777777778,0.123892625753309,16.3339989492189,0.536660662819003,-25.7333333333333,0.226776933963262
"h",4,9,2.91666666666667,0.0769198717280955,16.7439253597229,0.433734580423493,-26.6277777777778,0.489264691421326
"h",5,9,2.78666666666667,0.164839989754374,18.5974477354729,1.14128354457842,-25.3366666666667,0.392559266579937
"h",6,9,2.50555555555556,0.108257808431631,19.6612502648535,0.755649666218097,-26.4933333333333,0.500835413195903
"h",7,9,2.59333333333333,0.098657657246325,18.9216949573863,0.70353252859969,-26.4344444444444,0.514347243036991
"h",8,9,2.49,0.11509657780413,19.727822368249,0.869967905591545,-26.4055555555556,0.390680002300516
"h",9,9,2.45111111111111,0.0516517302185309,19.9505028310815,0.503580074586292,-26.71,0.367755957728008
"h",10,9,2.55777777777778,0.0503260971006367,20.0926370312041,0.376931177228504,-26.78,0.4418175842786
"m",1,10,2.594,0.0702724855275678,19.8477953692249,0.48395216983214,-27.524,0.123281070007614
"m",2,10,2.424,0.121080322284195,20.4849888939578,0.896686027091739,-27.7,0.1962594654476
"m",3,10,2.214,0.0859483048763099,22.0516140017921,0.846798552839786,-26.914,0.190585064122734
"m",4,10,2.225,0.0945662613080256,21.9193580130073,1.04183855231011,-27.808,0.199670840245752
"m",5,10,2.127,0.0956504051219857,24.1352683061839,1.29587125098129,-27.189,0.166516265471775
"m",6,10,2.157,0.0869488994243809,23.3701418325958,1.04616627686702,-27.574,0.186292482105126
"m",7,10,2.121,0.0483609116723183,23.6183753691683,0.601663751991195,-28.116,0.165006397182385
"m",8,10,2.071,0.0406461696979077,23.0456886717396,0.526443315749662,-27.863,0.142898954198801
"m",9,10,1.966,0.0610136596727869,25.1565880314802,0.796762089485896,-27.987,0.201621482541475
"m",10,10,1.989,0.0848979779892706,25.843205490375,1.17175991463498,-27.474,0.129135587658863
