"tree_id","site","species","replicate","pit_size_class","pit_length_cm","pit_width_cm","pit_depth_cm","pit_area_m2","pit_volume_m3"
"p_m_1","p","m","1",NA,NA,NA,NA,NA,NA
"p_m_2","p","m","2",NA,NA,NA,NA,NA,NA
"p_m_3","p","m","3",NA,NA,NA,NA,NA,NA
"p_m_4","p","m","4",NA,NA,NA,NA,NA,NA
"p_m_5","p","m","5",NA,NA,NA,NA,NA,NA
"p_d_1","p","d","1",NA,NA,NA,NA,NA,NA
"p_d_2","p","d","2",NA,NA,NA,NA,NA,NA
"p_d_3","p","d","3",NA,NA,NA,NA,NA,NA
"p_d_4","p","d","4",NA,NA,NA,NA,NA,NA
"p_d_5","p","d","5",NA,NA,NA,NA,NA,NA
"p_h_1","p","h","1",NA,NA,NA,NA,NA,NA
"p_h_2","p","h","2",NA,NA,NA,NA,NA,NA
"p_h_3","p","h","3",NA,NA,NA,NA,NA,NA
"p_h_4","p","h","4",NA,NA,NA,NA,NA,NA
"p_h_5","p","h","5",NA,NA,NA,NA,NA,NA
"c_m_1","c","m","1","small",71,71,61,0.5041,0.307501
"c_m_2","c","m","2","small",71,71,61,0.5041,0.307501
"c_m_3","c","m","3","small",71,71,61,0.5041,0.307501
"c_m_4","c","m","4","large",76,152,61,1.1552,0.704672
"c_m_5","c","m","5","large",76,152,61,1.1552,0.704672
"c_d_1","c","d","1","small",71,71,61,0.5041,0.307501
"c_d_2","c","d","2","small",71,71,61,0.5041,0.307501
"c_d_3","c","d","3","large",76,152,61,1.1552,0.704672
"c_d_4","c","d","4","large",76,152,61,1.1552,0.704672
"c_d_5","c","d","5","large",76,152,61,1.1552,0.704672
"c_h_1","c","h","1","small",71,71,61,0.5041,0.307501
"c_h_2","c","h","2","small",71,71,61,0.5041,0.307501
"c_h_3","c","h","3","large",76,152,61,1.1552,0.704672
"c_h_4","c","h","4","large",76,152,61,1.1552,0.704672
"c_h_5","c","h","5","large",76,152,61,1.1552,0.704672
