date,site,species,plant_num,replicate,stomata_count,zoom,fov_diam_mm
5/31/2022,p,m,1,1,16,100,0.2
5/31/2022,p,m,1,2,17,100,0.2
5/31/2022,p,m,1,3,12,100,0.2
5/31/2022,p,m,2,1,15,100,0.2
5/31/2022,p,m,2,2,14,100,0.2
5/31/2022,p,m,2,3,15,100,0.2
5/31/2022,p,m,3,1,17,100,0.2
5/31/2022,p,m,3,2,11,100,0.2
5/31/2022,p,m,3,3,15,100,0.2
5/31/2022,p,m,4,1,12,100,0.2
5/31/2022,p,m,4,2,12,100,0.2
5/31/2022,p,m,4,3,20,100,0.2
5/31/2022,p,m,5,1,19,100,0.2
5/31/2022,p,m,5,2,21,100,0.2
5/31/2022,p,m,5,3,22,100,0.2
5/31/2022,p,d,1,1,11,100,0.2
5/31/2022,p,d,1,2,15,100,0.2
5/31/2022,p,d,1,3,12,100,0.2
5/31/2022,p,d,2,1,8,100,0.2
5/31/2022,p,d,2,2,8,100,0.2
5/31/2022,p,d,2,3,6,100,0.2
5/31/2022,p,d,3,1,13,100,0.2
5/31/2022,p,d,3,2,15,100,0.2
5/31/2022,p,d,3,3,13,100,0.2
5/31/2022,p,d,4,1,13,100,0.2
5/31/2022,p,d,4,2,13,100,0.2
5/31/2022,p,d,4,3,14,100,0.2
5/31/2022,p,d,5,1,12,100,0.2
5/31/2022,p,d,5,2,11,100,0.2
5/31/2022,p,d,5,3,8,100,0.2
5/31/2022,p,h,1,1,8,100,0.2
5/31/2022,p,h,1,2,10,100,0.2
5/31/2022,p,h,1,3,7,100,0.2
5/31/2022,p,h,2,1,9,100,0.2
5/31/2022,p,h,2,2,10,100,0.2
5/31/2022,p,h,2,3,6,100,0.2
5/31/2022,p,h,3,1,9,100,0.2
5/31/2022,p,h,3,2,5,100,0.2
5/31/2022,p,h,3,3,10,100,0.2
5/31/2022,p,h,4,1,10,100,0.2
5/31/2022,p,h,4,2,12,100,0.2
5/31/2022,p,h,4,3,12,100,0.2
5/31/2022,p,h,5,1,8,100,0.2
5/31/2022,p,h,5,2,10,100,0.2
5/31/2022,p,h,5,3,7,100,0.2
5/31/2022,c,m,1,1,12,100,0.2
5/31/2022,c,m,1,2,19,100,0.2
5/31/2022,c,m,1,3,22,100,0.2
5/31/2022,c,m,2,1,19,100,0.2
5/31/2022,c,m,2,2,15,100,0.2
5/31/2022,c,m,2,3,20,100,0.2
5/31/2022,c,m,3,1,7,100,0.2
5/31/2022,c,m,3,2,14,100,0.2
5/31/2022,c,m,3,3,19,100,0.2
5/31/2022,c,m,4,1,12,100,0.2
5/31/2022,c,m,4,2,13,100,0.2
5/31/2022,c,m,4,3,16,100,0.2
5/31/2022,c,m,5,1,22,100,0.2
5/31/2022,c,m,5,2,25,100,0.2
5/31/2022,c,m,5,3,21,100,0.2
5/31/2022,c,d,1,1,12,100,0.2
5/31/2022,c,d,1,2,13,100,0.2
5/31/2022,c,d,1,3,12,100,0.2
5/31/2022,c,d,2,1,9,100,0.2
5/31/2022,c,d,2,2,16,100,0.2
5/31/2022,c,d,2,3,10,100,0.2
5/31/2022,c,d,3,1,13,100,0.2
5/31/2022,c,d,3,2,14,100,0.2
5/31/2022,c,d,3,3,9,100,0.2
5/31/2022,c,d,4,1,11,100,0.2
5/31/2022,c,d,4,2,8,100,0.2
5/31/2022,c,d,4,3,13,100,0.2
5/31/2022,c,d,5,1,8,100,0.2
5/31/2022,c,d,5,2,8,100,0.2
5/31/2022,c,d,5,3,7,100,0.2
5/31/2022,c,h,1,1,8,100,0.2
5/31/2022,c,h,1,2,10,100,0.2
5/31/2022,c,h,1,3,7,100,0.2
5/31/2022,c,h,2,1,10,100,0.2
5/31/2022,c,h,2,2,14,100,0.2
5/31/2022,c,h,2,3,6,100,0.2
5/31/2022,c,h,3,1,8,100,0.2
5/31/2022,c,h,3,2,8,100,0.2
5/31/2022,c,h,3,3,10,100,0.2
5/31/2022,c,h,4,1,9,100,0.2
5/31/2022,c,h,4,2,10,100,0.2
5/31/2022,c,h,4,3,10,100,0.2
5/31/2022,c,h,5,1,14,100,0.2
5/31/2022,c,h,5,2,12,100,0.2
5/31/2022,c,h,5,3,14,100,0.2
6/8/2022,p,m,1,1,17,100,0.2
6/8/2022,p,m,1,2,18,100,0.2
6/8/2022,p,m,1,3,18,100,0.2
6/8/2022,p,m,2,1,17,100,0.2
6/8/2022,p,m,2,2,21,100,0.2
6/8/2022,p,m,2,3,11,100,0.2
6/8/2022,p,m,3,1,14,100,0.2
6/8/2022,p,m,3,2,13,100,0.2
6/8/2022,p,m,3,3,18,100,0.2
6/8/2022,p,m,4,1,16,100,0.2
6/8/2022,p,m,4,2,18,100,0.2
6/8/2022,p,m,4,3,14,100,0.2
6/8/2022,p,m,5,1,25,100,0.2
6/8/2022,p,m,5,2,22,100,0.2
6/8/2022,p,m,5,3,19,100,0.2
6/8/2022,p,d,1,1,10,100,0.2
6/8/2022,p,d,1,2,9,100,0.2
6/8/2022,p,d,1,3,12,100,0.2
6/8/2022,p,d,2,1,11,100,0.2
6/8/2022,p,d,2,2,12,100,0.2
6/8/2022,p,d,2,3,10,100,0.2
6/8/2022,p,d,3,1,13,100,0.2
6/8/2022,p,d,3,2,19,100,0.2
6/8/2022,p,d,3,3,14,100,0.2
6/8/2022,p,d,4,1,10,100,0.2
6/8/2022,p,d,4,2,10,100,0.2
6/8/2022,p,d,4,3,9,100,0.2
6/8/2022,p,d,5,1,8,100,0.2
6/8/2022,p,d,5,2,9,100,0.2
6/8/2022,p,d,5,3,11,100,0.2
6/8/2022,p,h,1,1,9,100,0.2
6/8/2022,p,h,1,2,13,100,0.2
6/8/2022,p,h,1,3,10,100,0.2
6/8/2022,p,h,2,1,12,100,0.2
6/8/2022,p,h,2,2,10,100,0.2
6/8/2022,p,h,2,3,16,100,0.2
6/8/2022,p,h,3,1,9,100,0.2
6/8/2022,p,h,3,2,10,100,0.2
6/8/2022,p,h,3,3,9,100,0.2
6/8/2022,p,h,4,1,10,100,0.2
6/8/2022,p,h,4,2,9,100,0.2
6/8/2022,p,h,4,3,9,100,0.2
6/8/2022,p,h,5,1,9,100,0.2
6/8/2022,p,h,5,2,11,100,0.2
6/8/2022,p,h,5,3,8,100,0.2
6/8/2022,c,m,1,1,,,
6/8/2022,c,m,1,2,,,
6/8/2022,c,m,1,3,,,
6/8/2022,c,m,2,1,18,100,0.2
6/8/2022,c,m,2,2,16,100,0.2
6/8/2022,c,m,2,3,18,100,0.2
6/8/2022,c,m,3,1,14,100,0.2
6/8/2022,c,m,3,2,16,100,0.2
6/8/2022,c,m,3,3,14,100,0.2
6/8/2022,c,m,4,1,16,100,0.2
6/8/2022,c,m,4,2,18,100,0.2
6/8/2022,c,m,4,3,21,100,0.2
6/8/2022,c,m,5,1,20,100,0.2
6/8/2022,c,m,5,2,15,100,0.2
6/8/2022,c,m,5,3,19,100,0.2
6/8/2022,c,d,1,1,13,100,0.2
