date,site,species,plant_num,drymass_g,area_cm2,lma,lma2,lma_change,percent_change
44705,p,m,1,0.099,19.57,50.58763413,100.7221589,50.13452474,99.104308
44705,p,m,2,0.093,14.11,65.91070163,78.52636323,12.6156616,19.14053604
44705,p,m,3,0.148,21.68,68.26568266,97.3564753,29.09079264,42.61408003
44705,p,m,4,0.099,15.7,63.05732484,105.3100726,42.25274774,67.00688278
44705,p,m,5,0.087,14.14,61.52758133,96.29323575,34.76565442,56.50417856
44705,p,h,1,0.053,6.19,85.62197092,141.4338315,55.81186057,65.18404093
44705,p,h,2,0.016,2.19,,,,
44705,p,h,3,0.042,5.42,77.49077491,114.0891841,36.59840915,47.22937562
44705,p,h,4,0.03,3.55,84.50704225,142.4595142,57.95247192,68.57709177
44705,p,h,5,0.033,4.34,76.03686636,138.2101167,62.17325037,81.76724443
44705,p,d,1,0.108,17.3,62.42774566,108.1023454,45.67459975,73.16394219
44705,p,d,2,0.075,12.63,59.3824228,83.85579937,24.47337657,41.21316614
44705,p,d,3,0.056,9.48,59.07172996,101.7302843,42.65855437,72.21483846
44705,p,d,4,0.065,10.52,61.78707224,99.74308599,37.95601375,61.4303484
44705,p,d,5,0.059,11.11,53.10531053,95.03418899,41.92887846,78.95421012
44705,c,m,1,0.105,19.81,53.00353357,88.93890675,35.93537318,67.79807074
44705,c,m,2,0.135,19.76,68.31983806,89.5036051,21.18376705,31.00675828
44705,c,m,3,0.137,18.99,72.14323328,103.9726878,31.82945449,44.1198059
44705,c,m,4,0.118,17.87,66.03245663,81.15942029,15.12696366,22.90837632
44705,c,m,5,0.074,13.39,55.26512323,78.2369146,22.97179137,41.5665252
44705,c,h,1,0.034,4.7,72.34042553,159.5605545,87.22012901,120.5690019
44705,c,h,2,0.031,4.61,67.24511931,123.6024845,56.35736517,83.80885594
44705,c,h,3,0.041,3.43,119.5335277,162.3113728,42.77784514,35.78731923
44705,c,h,4,0.041,4.44,92.34234234,188.6001676,96.2578253,104.2401815
44705,c,h,5,0.052,6.54,79.51070336,117.6541864,38.14348299,47.97276515
44705,c,d,1,0.07,12.78,54.77308294,97.3429505,42.56986755,77.72041533
44705,c,d,2,0.036,7.04,,,,
44705,c,d,3,0.067,10.72,62.5,116.4396887,53.93968872,86.30350195
44705,c,d,4,0.115,17.33,66.35891518,117.7737882,51.41487297,77.47997814
44705,c,d,5,0.033,6.4,51.5625,94.02803559,42.46553559,82.35740235
