tray,site,species,replicate,date,sample_ID,weight_mg,N2_amp,nitro_perc,n15,CO2_Amp,carbon_perc,c13
1,c,m,1,7/26/2022,1,3.08,"2,760",2.2,1.61,"9,681",51.45,-27.57
1,c,m,2,7/26/2022,2,3.3,"2,438",1.82,1.58,"10,181",51.62,-27.13
1,c,m,3,7/26/2022,3,3.16,"2,553",1.98,1.57,"9,598",49.65,-27.53
1,c,m,4,7/26/2022,4,3.04,"2,442",1.98,1.51,"9,345",49.9,-27.48
1,c,m,5,7/26/2022,5,3.34,"3,249",2.39,2.02,"9,895",49.23,-27.83
1,p,m,1,7/26/2022,6,3.3,"2,358",1.78,1.39,"10,061",51.2,-26.7
1,p,m,2,7/26/2022,7,3.33,"3,216",2.39,2.06,"10,005",50.27,-27.24
1,p,m,3,7/26/2022,8,3.39,"2,705",1.96,1.04,"10,211",50.52,-27.64
1,p,m,4,7/26/2022,9,2.88,"1,769",1.56,0.77,"9,003",51.18,-28.22
1,p,m,5,7/26/2022,10,3.04,"2,242",1.83,1.29,"9,342",50.19,-27.4
1,c,d,1,7/26/2022,11,3.21,"1,556",1.23,2.88,"9,279",47.15,-26.81
1,c,d,2,7/26/2022,12,3.13,"1,772",1.44,2.45,"9,349",48.67,-24.96
1,c,d,3,7/26/2022,13,3.41,"1,782",1.34,2.31,"10,131",50.17,-25.01
1,c,d,4,7/26/2022,14,3.08,"1,606",1.34,2.65,"9,029",47.66,-27.06
1,p,d,1,7/26/2022,15,2.96,"1,626",1.41,1.84,"8,696",47.05,-27.61
1,p,d,2,7/26/2022,16,3.06,"1,527",1.28,1.97,"8,889",46.81,-27.71
1,p,d,3,7/26/2022,17,3.37,"1,515",1.2,1.56,"9,180",45.27,-24.88
1,p,d,4,7/26/2022,18,3.14,"1,429",1.17,-0.01,"8,642",44.11,-25.86
1,p,d,5,7/26/2022,19,3.2,"1,299",1.08,1.36,"8,838",45.2,-25.88
1,c,h,1,7/26/2022,20,3.08,"3,399",2.72,-0.21,"9,843",53.18,-25.75
1,c,h,2,7/26/2022,21,2.93,"2,856",2.42,-0.04,"9,350",52.34,-27.92
1,c,h,3,7/26/2022,22,3.33,"3,529",2.63,0.31,"10,216",51.92,-26.75
