site,species,replicate,crown_discoloration,twig_dieback,crown_vigor
p,m,1,1,1,1
p,m,2,1,2,1
p,m,3,1,1,1
p,m,4,1,1,1
p,m,5,1,1,1
p,d,1,1,1,1
p,d,2,1,1,1
p,d,3,2,1,1
p,d,4,1,1,1
p,d,5,1,1,1
p,h,1,1,2,1
p,h,2,4,3,4
p,h,3,2,1,1
p,h,4,2,2,1
p,h,5,2,2,1
c,m,1,2,1,1
c,m,2,3,1,2
c,m,3,2,1,1
c,m,4,1,1,1
c,m,5,2,1,1
c,d,1,1,1,1
c,d,2,1,1,1
c,d,3,1,2,2
c,d,4,1,1,1
c,d,5,1,1,1
c,h,1,1,2,1
c,h,2,3,3,3
c,h,3,1,2,1
c,h,4,1,2,1
c,h,5,3,2,2
