STATION,DATE,REPORT_TYPE,SOURCE,AWND,CDSD,CLDD,DSNW,DYHF,DYTS,DailyAverageDewPointTemperature,DailyAverageDryBulbTemperature,DailyAverageRelativeHumidity,DailyAverageSeaLevelPressure,DailyAverageStationPressure,DailyAverageWetBulbTemperature,DailyAverageWindSpeed,DailyCoolingDegreeDays,DailyDepartureFromNormalAverageTemperature,DailyHeatingDegreeDays,DailyMaximumDryBulbTemperature,DailyMinimumDryBulbTemperature,DailyPeakWindDirection,DailyPeakWindSpeed,DailyPrecipitation,DailySnowDepth,DailySnowfall,DailySustainedWindDirection,DailySustainedWindSpeed,DailyWeather,HDSD,HTDD,HourlyAltimeterSetting,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyRelativeHumidity,HourlySeaLevelPressure,HourlySkyConditions,HourlyStationPressure,HourlyVisibility,HourlyWetBulbTemperature,HourlyWindDirection,HourlyWindGustSpeed,HourlyWindSpeed,REM,REPORT_TYPE,SOURCE
72417713734,2022-04-01T00:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.56,43,55,0,64,29.55,SCT:04 34 BKN:07 65,28.99,10,49,310,20,10,MET12704/01/22 00:53:02 METAR KMRB 010553Z 31009G17KT 10SM SCT034 BKN065 13/06 A2956 RMK AO2 SLP006 60001 T01280061 10161 20128 51022,FM-15,7
72417713734,2022-04-01T01:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.59,36,51,0,56,29.58,FEW:02 40,29.02,10,44,280,31,21,MET11404/01/22 01:53:02 METAR KMRB 010653Z 28018G27KT 10SM FEW040 11/02 A2959 RMK AO2 PK WND 28028/0643 SLP018 T01060022,FM-15,7
72417713734,2022-04-01T02:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.62,33,50,0,52,29.62,SCT:04 44 BKN:07 70,29.05,10,42,290,34,23,MET12104/01/22 02:53:02 METAR KMRB 010753Z 29020G30KT 10SM SCT044 BKN070 10/01 A2962 RMK AO2 PK WND 28030/0733 SLP029 T01000006,FM-15,7
72417713734,2022-04-01T03:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.62,31,48,0,52,29.62,OVC:08 90,29.05,10,41,270,25,18,MET12104/01/22 03:53:02 METAR KMRB 010853Z 27016G22KT 10SM OVC090 09/M01 A2962 RMK AO2 PK WND 26026/0808 SLP029 T00891006 50021,FM-15,7
72417713734,2022-04-01T04:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.63,31,46,0,56,29.63,FEW:02 120,29.06,10,40,280,25,14,MET11504/01/22 04:53:02 METAR KMRB 010953Z 28012G22KT 10SM FEW120 08/M01 A2963 RMK AO2 PK WND 27026/0919 SLP033 T00781006,FM-15,7
72417713734,2022-04-01T05:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.65,30,44,0,58,29.65,CLR:00,29.08,10,38,270,,8,MET09104/01/22 05:53:02 METAR KMRB 011053Z 27007KT 10SM CLR 07/M01 A2965 RMK AO2 SLP041 T00671011,FM-15,7
72417713734,2022-04-01T06:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.67,30,44,0,58,29.67,BKN:07 120,29.1,10,38,250,,9,MET12304/01/22 06:53:02 METAR KMRB 011153Z 25008KT 10SM BKN120 07/M01 A2967 RMK AO2 SLP047 70024 T00671011 10128 20061 53017 (OG),FM-15,7
72417713734,2022-04-01T07:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.69,30,47,0,52,29.69,SCT:04 75 SCT:04 120,29.12,10,40,250,,15,MET10604/01/22 07:53:02 METAR KMRB 011253Z 25013KT 10SM SCT075 SCT120 08/M01 A2969 RMK AO2 SLP055 T00831011 (OG),FM-15,7
72417713734,2022-04-01T08:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.72,29,49,0,46,29.72,BKN:07 50 OVC:08 60,29.15,10,41,280,,14,MET10604/01/22 08:53:02 METAR KMRB 011353Z 28012KT 10SM BKN050 OVC060 09/M02 A2972 RMK AO2 SLP064 T00941017 (YJ),FM-15,7
72417713734,2022-04-01T09:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.74,31,48,T,52,29.74,BKN:07 49 OVC:08 60,29.17,10,41,280,29,21,MET13704/01/22 09:53:02 METAR KMRB 011453Z 28018G25KT 10SM -RA BKN049 OVC060 09/M01 A2974 RMK AO2 RAB45 SLP071 P0000 60000 T00891006 51025 (YJ),FM-15,7
