date,temp_max,temp_avg,temp_min,dewpt_max,dewpt_avg,dewpt_min,humidity_max,humidity_avg,humidity_min,wind_max,wind_avg,wind_min,pressure_max,pressure_avg,pressure_min,precip_total
5/23/2022,67,62,56,57,50.6,46,93,67.4,47,16,6,0,29.5,29.5,29.4,0
5/24/2022,63,59.7,56,55,52.8,50,90,78.2,69,12,5.3,0,29.5,29.5,29.4,0.05
5/25/2022,71,64.2,58,54,50.5,44,87,62.4,45,14,6.3,0,29.6,29.6,29.5,0
5/26/2022,71,65.2,58,63,54.6,43,87,69,50,20,11.3,3,29.5,29.4,29.3,0
5/27/2022,74,68.5,64,67,64,61,93,85.9,66,16,9.7,3,29.3,29.1,29,0
5/28/2022,74,67.9,61,62,57.9,54,97,71.8,55,14,7.4,3,29.2,29.1,29,0.72
5/29/2022,80,70.3,58,59,56,53,84,62.1,43,9,3.1,0,29.4,29.3,29.2,0
5/30/2022,89,77.2,61,64,61.2,58,93,59.8,39,9,5,0,29.4,29.3,29.3,0
5/31/2022,90,81.6,70,67,63.8,61,78,56,39,9,5,0,29.3,29.3,29.2,0
6/1/2022,91,81.8,70,67,63.8,60,84,56.4,36,13,6,0,29.3,29.2,29.1,0
6/2/2022,81,75.8,70,67,63.6,60,78,66.4,56,10,4.6,0,29.1,29,29,0
6/3/2022,79,70.6,62,65,51,45,84,52.6,30,15,8.8,0,29.2,29.1,29,0
6/4/2022,83,71,55,54,44.3,34,81,43.1,18,16,6.7,0,29.2,29.2,29.1,0
6/5/2022,79,68.6,56,46,41.3,37,60,38.7,24,8,4.4,0,29.3,29.2,29.2,0
6/6/2022,81,71.8,59,53,49.1,47,72,46.7,31,17,10.3,0,29.3,29.3,29.2,0
6/7/2022,74,69.1,63,67,62.6,48,93,80.6,49,20,12.9,5,29.3,29.2,29.1,0
6/8/2022,83,70.6,65,70,64.4,56,100,82.9,49,16,4.7,0,29.2,29.1,28.9,0.09
6/9/2022,76,71.8,65,68,56.4,48,90,60.7,40,24,13.6,0,29.1,29,28.9,0.24
6/10/2022,79,69.8,60,54,49.7,45,70,50.7,31,13,5.8,0,29.2,29.2,29.1,0
6/11/2022,69,63.9,60,58,56.1,52,90,76.1,63,9,3.3,0,29.3,29.2,29.2,0.04
6/12/2022,81,68,60,68,62.1,57,100,82.6,58,13,3.7,0,29.2,29.2,29.1,0.18
6/13/2022,88,79,70,70,68.7,68,97,72.3,53,9,4.1,0,29.2,29.2,29.2,0.03
6/14/2022,81,73.7,69,71,67,64,93,80.2,62,32,6.4,0,29.3,29.2,29.1,0.53
6/15/2022,86,77,65,70,67.3,63,93,73.3,57,9,5.6,0,29.4,29.3,29.3,0
6/16/2022,86,79.6,75,75,68.7,63,88,69.5,59,12,7.4,3,29.4,29.3,29.2,0
6/17/2022,91,86.4,75,70,60.7,54,62,43.1,31,22,15.6,3,29.1,29,29,0
6/18/2022,75,68.1,63,61,46,37,61,46.3,31,26,18.1,8,29.3,29.1,29.1,0
6/19/2022,77,67.2,54,43,37.4,34,67,35.6,22,24,13.2,3,29.4,29.3,29.3,0
6/20/2022,81,71.4,55,50,45.7,41,63,41,28,17,7,0,29.5,29.4,29.4,0
6/21/2022,83,74.2,65,61,58.2,52,78,58.4,44,12,6.6,0,29.5,29.4,29.3,0
6/22/2022,87,75.3,69,72,67.4,61,94,77.8,49,30,6.7,0,29.3,29.2,29.1,0.02
6/23/2022,75,68.5,67,66,64.8,62,97,88.2,68,9,5.5,0,29.3,29.2,29.1,0.78
6/24/2022,84,73,65,65,63,59,90,72.6,44,8,3.8,0,29.3,29.3,29.3,0.02
6/25/2022,88,78.5,67,67,63.9,59,90,63.5,40,10,5,0,29.4,29.4,29.3,0
6/26/2022,89,77.3,72,72,68,64,91,74.3,52,20,10.6,6,29.4,29.3,29.3,0
6/27/2022,83,73.3,65,70,63.4,49,94,74.4,35,15,7.4,3,29.4,29.3,29.2,0.07
6/28/2022,79,69.7,59,56,49.8,46,68,50.3,35,12,5,0,29.5,29.4,29.4,0.02
6/29/2022,87,74,60,61,54.9,50,78,54,30,9,4.6,0,29.5,29.4,29.4,0
6/30/2022,88,76.4,62,59,54.3,50,75,48.8,27,10,4,0,29.5,29.4,29.4,0
7/1/2022,88,79.4,70,72,67.1,60,79,66.3,53,13,7.3,0,29.4,29.3,29.2,0
7/2/2022,90,77.8,72,72,68.3,63,93,74,45,14,6.5,0,29.2,29.2,29.2,0
7/3/2022,87,77.6,70,70,59.5,53,93,57.8,33,12,5.6,0,29.4,29.3,29.2,0.41
7/4/2022,85,75.5,64,56,52,47,67,46.2,28,6,2.5,0,29.5,29.4,29.4,0
7/5/2022,85,77.9,71,72,65.2,56,77,64.9,57,16,7.4,0,29.4,29.2,29.1,0
7/6/2022,86,78.7,73,71,67.1,64,81,67.9,55,10,6.1,3,29.2,29.2,29.1,0
7/7/2022,82,73.6,69,70,67.7,65,7,82.5,60,0,6.8,0,9.3,29.2,29.2,1.27
7/8/2022,85,76.7,71,71,68.8,64,91,77.6,54,7,4.2,0,29.3,29.3,29.2,0
7/9/2022,77,71.8,68,70,66.9,64,91,84.8,66,12,5.1,0,29.3,29.3,29.2,0
7/10/2022,81,69.9,62,64,60.9,56,100,76.3,45,10,4,0,29.3,29.3,29.3,0.18
